type,diagnosis_code,diagnosis_description
icd10,Q41,"Congenital absence, atresia and stenosis of small intestine"
icd10,Q42,"Congenital absence, atresia and stenosis of large intestine"
icd10,Q43,Other congenital malformations of intestine
icd10,Q44,"Congenital malformations of gallbladder, bile ducts and liver"
icd10,Q45,Other congenital malformations of digestive system
icd10,Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments"
icd10,Q51,Congenital malformations of uterus and cervix
icd10,Q52,Other congenital malformations of female genitalia
icd10,Q53,Undescended testicle
icd10,Q54,Hypospadias
icd10,Q55,Other congenital malformations of male genital organs
icd10,Q56,Indeterminate sex and pseudohermaphroditism
icd10,Q60,Renal agenesis and other reduction defects of kidney
icd10,Q61,Cystic kidney disease
icd10,Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
icd10,Q63,Other congenital malformations of kidney
icd10,Q64,Other congenital malformations of urinary system
icd10,Q65,Congenital deformities of hip
icd10,Q66,Congenital deformities of feet
icd10,Q67,"Congenital musculoskeletal deformities of head, face, spine and chest"
icd10,Q68,Other congenital musculoskeletal deformities
icd10,Q69,Polydactyly
icd10,Q70,Syndactyly
icd10,Q71,Reduction defects of upper limb
icd10,Q72,Reduction defects of lower limb
icd10,Q73,Reduction defects of unspecified limb
icd10,Q74,Other congenital malformations of limb(s)
icd10,Q75,Other congenital malformations of skull and face bones
icd10,Q76,Congenital malformations of spine and bony thorax
icd10,Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine
icd10,Q78,Other osteochondrodysplasias
icd10,Q79,"Congenital malformations of the musculoskeletal system, not elsewhere classified"
icd10,Q80,Congenital ichthyosis
icd10,Q81,Epidermolysis bullosa
icd10,Q82,Other congenital malformations of skin
icd10,Q83,Congenital malformations of breast
icd10,Q84,Other congenital malformations of integument
icd10,Q85,"Phakomatoses, not elsewhere classified"
icd10,Q86,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified"
icd10,Q87,Other specified congenital malformation syndromes affecting multiple systems
icd10,Q89,"Other congenital malformations, not elsewhere classified"
icd10,Q90,Down syndrome
icd10,Q91,Edwards' syndrome and Patau syndrome
icd10,Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified"
icd10,Q93,"Monosomies and deletions from the autosomes, not elsewhere classified"
icd10,Q95,"Balanced rearrangements and structural markers, not elsewhere classified"
icd10,Q96,Turner syndrome
icd10,Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified"
icd10,Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified"
icd10,Q99,"Other chromosome abnormalities, not elsewhere classified"
icd10,R00,Abnormalities of heart beat
icd10,R01,Cardiac murmurs and other cardiac sounds
icd10,R02,"Gangrene, not elsewhere classified"
icd10,R03,"Abnormal blood-pressure reading, without diagnosis"
icd10,R04,Haemorrhage from respiratory passages
icd10,R05,Cough
icd10,R06,Abnormalities of breathing
icd10,R07,Pain in throat and chest
icd10,R09,Other symptoms and signs involving the circulatory and respiratory systems
icd10,R10,Abdominal and pelvic pain
icd10,R11,Nausea and vomiting
icd10,R12,Heartburn
icd10,R13,Dysphagia
icd10,R14,Flatulence and related conditions
icd10,R15,Faecal incontinence
icd10,R16,"Hepatomegaly and splenomegaly, not elsewhere classified"
icd10,R17,Unspecified jaundice
icd10,R18,Ascites
icd10,R19,Other symptoms and signs involving the digestive system and abdomen
icd10,R20,Disturbances of skin sensation
icd10,R21,Rash and other nonspecific skin eruption
icd10,R22,"Localized swelling, mass and lump of skin and subcutaneous tissue"
icd10,R23,Other skin changes
icd10,R25,Abnormal involuntary movements
icd10,R26,Abnormalities of gait and mobility
icd10,R27,Other lack of coordination
icd10,R29,Other symptoms and signs involving the nervous and musculoskeletal systems
icd10,R30,Pain associated with micturition
icd10,R31,Unspecified haematuria
icd10,R32,Unspecified urinary incontinence
icd10,R33,Retention of urine
icd10,R34,Anuria and oliguria
icd10,R35,Polyuria
icd10,R36,Urethral discharge
icd10,R39,Other symptoms and signs involving the urinary system
icd10,R40,"Somnolence, stupor and coma"
icd10,R41,Other symptoms and signs involving cognitive functions and awareness
icd10,R42,Dizziness and giddiness
icd10,R43,Disturbances of smell and taste
icd10,R44,Other symptoms and signs involving general sensations and perceptions
icd10,R45,Symptoms and signs involving emotional state
icd10,R46,Symptoms and signs involving appearance and behaviour
icd10,R47,"Speech disturbances, not elsewhere classified"
icd10,R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified"
icd10,R49,Voice disturbances
icd10,R50,Fever of other and unknown origin
icd10,R51,Headache
icd10,R52,"Pain, not elsewhere classified"
icd10,R53,Malaise and fatigue
icd10,R54,Senility
icd10,R55,Syncope and collapse
icd10,R56,"Convulsions, not elsewhere classified"
icd10,R57,"Shock, not elsewhere classified"
icd10,R58,"Haemorrhage, not elsewhere classified"
icd10,R59,Enlarged lymph nodes
icd10,R60,"Oedema, not elsewhere classified"
icd10,R61,Hyperhidrosis
icd10,R62,Lack of expected normal physiological development
icd10,R63,Symptoms and signs concerning food and fluid intake
icd10,R64,Cachexia
icd10,R65,Systemic Inflammatory Response Syndrome [SIRS]
icd10,R68,Other general symptoms and signs
icd10,R69,Unknown and unspecified causes of morbidity
icd10,R70,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
icd10,R71,Abnormality of red blood cells
icd10,R72,"Abnormality of white blood cells, not elsewhere classified"
icd10,R73,Elevated blood glucose level
icd10,R74,Abnormal serum enzyme levels
icd10,R75,Laboratory evidence of human immunodeficiency virus [HIV]
icd10,R76,Other abnormal immunological findings in serum
icd10,R77,Other abnormalities of plasma proteins
icd10,R78,"Findings of drugs and other substances, not normally found in blood"
icd10,R79,Other abnormal findings of blood chemistry
icd10,R80,Isolated proteinuria
icd10,R81,Glycosuria
icd10,R82,Other abnormal findings in urine
icd10,R83,Abnormal findings in cerebrospinal fluid
icd10,R84,Abnormal findings in specimens from respiratory organs and thorax
icd10,R85,Abnormal findings in specimens from digestive organs and abdominal cavity
icd10,R86,Abnormal findings in specimens from male genital organs
icd10,R87,Abnormal findings in specimens from female genital organs
icd10,R89,"Abnormal findings in specimens from other organs, systems and tissues"
icd10,R90,Abnormal findings on diagnostic imaging of central nervous system
icd10,R91,Abnormal findings on diagnostic imaging of lung
icd10,R92,Abnormal findings on diagnostic imaging of breast
icd10,R93,Abnormal findings on diagnostic imaging of other body structures
icd10,R94,Abnormal results of function studies
icd10,R95,Sudden infant death syndrome
icd10,R96,"Other sudden death, cause unknown"
icd10,R98,Unattended death
icd10,R99,Other ill-defined and unspecified causes of mortality
icd10,S00,Superficial injury of head
icd10,S01,Open wound of head
icd10,S02,Fracture of skull and facial bones
icd10,S03,"Dislocation, sprain and strain of joints and ligaments of head"
icd10,S04,Injury of cranial nerves
icd10,S05,Injury of eye and orbit
icd10,S06,Intracranial injury
icd10,S07,Crushing injury of head
icd10,S08,Traumatic amputation of part of head
icd10,S09,Other and unspecified injuries of head
icd10,S10,Superficial injury of neck
icd10,S11,Open wound of neck
icd10,S12,Fracture of neck
icd10,S13,"Dislocation, sprain and strain of joints and ligaments at neck level"
icd10,S14,Injury of nerves and spinal cord at neck level
icd10,S15,Injury of blood vessels at neck level
icd10,S16,Injury of muscle and tendon at neck level
icd10,S17,Crushing injury of neck
icd10,S18,Traumatic amputation at neck level
icd10,S19,Other and unspecified injuries of neck
icd10,S20,Superficial injury of thorax
icd10,S21,Open wound of thorax
icd10,S22,"Fracture of rib(s), sternum and thoracic spine"
icd10,S23,"Dislocation, sprain and strain of joints and ligaments of thorax"
icd10,S24,Injury of nerves and spinal cord at thorax level
icd10,S25,Injury of blood vessels of thorax
icd10,S26,Injury of heart
icd10,S27,Injury of other and unspecified intrathoracic organs
icd10,S28,Crushing injury of thorax and traumatic amputation of part of thorax
icd10,S29,Other and unspecified injuries of thorax
icd10,S30,"Superficial injury of abdomen, lower back and pelvis"
icd10,S31,"Open wound of abdomen, lower back and pelvis"
icd10,S32,Fracture of lumbar spine and pelvis
icd10,S33,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis"
icd10,S34,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level"
icd10,S35,"Injury of blood vessels at abdomen, lower back and pelvis level"
icd10,S36,Injury of intra-abdominal organs
icd10,S37,Injury of urinary and pelvic organs
icd10,S38,"Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis"
icd10,S39,"Other and unspecified injuries of abdomen, lower back and pelvis"
icd10,S40,Superficial injury of shoulder and upper arm
icd10,S41,Open wound of shoulder and upper arm
icd10,S42,Fracture of shoulder and upper arm
icd10,S43,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle"
icd10,S44,Injury of nerves at shoulder and upper arm level
icd10,S45,Injury of blood vessels at shoulder and upper arm level
icd10,S46,Injury of muscle and tendon at shoulder and upper arm level
icd10,S47,Crushing injury of shoulder and upper arm
icd10,S48,Traumatic amputation of shoulder and upper arm
icd10,S49,Other and unspecified injuries of shoulder and upper arm
icd10,S50,Superficial injury of forearm
icd10,S51,Open wound of forearm
icd10,S52,Fracture of forearm
icd10,S53,"Dislocation, sprain and strain of joints and ligaments of elbow"
icd10,S54,Injury of nerves at forearm level
icd10,S55,Injury of blood vessels at forearm level
icd10,S56,Injury of muscle and tendon at forearm level
icd10,S57,Crushing injury of forearm
icd10,S58,Traumatic amputation of forearm
icd10,S59,Other and unspecified injuries of forearm
icd10,S60,Superficial injury of wrist and hand
icd10,S61,Open wound of wrist and hand
icd10,S62,Fracture at wrist and hand level
icd10,S63,"Dislocation, sprain and strain of joints and ligaments at wrist and hand level"
icd10,S64,Injury of nerves at wrist and hand level
icd10,S65,Injury of blood vessels at wrist and hand level
icd10,S66,Injury of muscle and tendon at wrist and hand level
icd10,S67,Crushing injury of wrist and hand
icd10,S68,Traumatic amputation of wrist and hand
icd10,S69,Other and unspecified injuries of wrist and hand
icd10,S70,Superficial injury of hip and thigh
icd10,S71,Open wound of hip and thigh
icd10,S72,Fracture of femur
icd10,S73,"Dislocation, sprain and strain of joint and ligaments of hip"
icd10,S74,Injury of nerves at hip and thigh level
icd10,S75,Injury of blood vessels at hip and thigh level
icd10,S76,Injury of muscle and tendon at hip and thigh level
icd10,S77,Crushing injury of hip and thigh
icd10,S78,Traumatic amputation of hip and thigh
icd10,S79,Other and unspecified injuries of hip and thigh
icd10,S80,Superficial injury of lower leg
icd10,S81,Open wound of lower leg
icd10,S82,"Fracture of lower leg, including ankle"
icd10,S83,"Dislocation, sprain and strain of joints and ligaments of knee"
icd10,S84,Injury of nerves at lower leg level
icd10,S85,Injury of blood vessels at lower leg level
icd10,S86,Injury of muscle and tendon at lower leg level
icd10,S87,Crushing injury of lower leg
icd10,S88,Traumatic amputation of lower leg
icd10,S89,Other and unspecified injuries of lower leg
icd10,S90,Superficial injury of ankle and foot
icd10,S91,Open wound of ankle and foot
icd10,S92,"Fracture of foot, except ankle"
icd10,S93,"Dislocation, sprain and strain of joints and ligaments at ankle and foot level"
icd10,S94,Injury of nerves at ankle and foot level
icd10,S95,Injury of blood vessels at ankle and foot level
icd10,S96,Injury of muscle and tendon at ankle and foot level
icd10,S97,Crushing injury of ankle and foot
icd10,S98,Traumatic amputation of ankle and foot
icd10,S99,Other and unspecified injuries of ankle and foot
icd10,T00,Superficial injuries involving multiple body regions
icd10,T01,Open wounds involving multiple body regions
icd10,T02,Fractures involving multiple body regions
icd10,T03,"Dislocations, sprains and strains involving multiple body regions"
icd10,T04,Crushing injuries involving multiple body regions
icd10,T05,Traumatic amputations involving multiple body regions
icd10,T06,"Other injuries involving multiple body regions, not elsewhere classified"
icd10,T07,Unspecified multiple injuries
icd10,T08,"Fracture of spine, level unspecified"
icd10,T09,"Other injuries of spine and trunk, level unspecified"
icd10,T10,"Fracture of upper limb, level unspecified"
icd10,T11,"Other injuries of upper limb, level unspecified"
icd10,T12,"Fracture of lower limb, level unspecified"
icd10,T13,"Other injuries of lower limb, level unspecified"
icd10,T14,Injury of unspecified body region
icd10,T15,Foreign body on external eye
icd10,T16,Foreign body in ear
icd10,T17,Foreign body in respiratory tract
icd10,T18,Foreign body in alimentary tract
icd10,T19,Foreign body in genitourinary tract
icd10,T20,Burn and corrosion of head and neck
icd10,T21,Burn and corrosion of trunk
icd10,T22,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
icd10,T23,Burn and corrosion of wrist and hand
icd10,T24,"Burn and corrosion of hip and lower limb, except ankle and foot"
icd10,T25,Burn and corrosion of ankle and foot
icd10,T26,Burn and corrosion confined to eye and adnexa
icd10,T27,Burn and corrosion of respiratory tract
icd10,T28,Burn and corrosion of other internal organs
icd10,T29,Burns and corrosions of multiple body regions
icd10,T30,"Burn and corrosion, body region unspecified"
icd10,T31,Burns classified according to extent of body surface involved
icd10,T32,Corrosions classified according to extent of body surface involved
icd10,T33,Superficial frostbite
icd10,T34,Frostbite with tissue necrosis
icd10,T35,Frostbite involving multiple body regions and unspecified frostbite
icd10,T36,Poisoning by systemic antibiotics
icd10,T37,Poisoning by other systemic anti-infectives and antiparasitics
icd10,T38,"Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified"
icd10,T39,"Poisoning by nonopioid analgesics, antipyretics and antirheumatics"
icd10,T40,Poisoning by narcotics and psychodysleptics [hallucinogens]
icd10,T41,Poisoning by anaesthetics and therapeutic gases
icd10,T42,"Poisoning by antiepileptic, sedative-hypnotic and antiparkinsonism drugs"
icd10,T43,"Poisoning by psychotropic drugs, not elsewhere classified"
icd10,T44,Poisoning by drugs primarily affecting the autonomic nervous system
icd10,T45,"Poisoning by primarily systemic and haematological agents, not elsewhere classified"
icd10,T46,Poisoning by agents primarily affecting the cardiovascular system
icd10,T47,Poisoning by agents primarily affecting the gastrointestinal system
icd10,T48,Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system
icd10,T49,"Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolaryngological and dental drugs"
icd10,T50,"Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances"
icd10,T51,Toxic effect of alcohol
icd10,T52,Toxic effect of organic solvents
icd10,T53,Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons
icd10,T54,Toxic effect of corrosive substances
icd10,T55,Toxic effect of soaps and detergents
icd10,T56,Toxic effect of metals
icd10,T57,Toxic effect of other inorganic substances
icd10,T58,Toxic effect of carbon monoxide
icd10,T59,"Toxic effect of other gases, fumes and vapours"
icd10,T60,Toxic effect of pesticides
icd10,T61,Toxic effect of noxious substances eaten as seafood
icd10,T62,Toxic effect of other noxious substances eaten as food
icd10,T63,Toxic effect of contact with venomous animals
icd10,T64,Toxic effect of aflatoxin and other mycotoxin food contaminants
icd10,T65,Toxic effect of other and unspecified substances
icd10,T66,Unspecified effects of radiation
icd10,T67,Effects of heat and light
icd10,T68,Hypothermia
icd10,T69,Other effects of reduced temperature
icd10,T70,Effects of air pressure and water pressure
icd10,T71,Asphyxiation
icd10,T73,Effects of other deprivation
icd10,T74,Maltreatment syndromes
icd10,T75,Effects of other external causes
icd10,T78,"Adverse effects, not elsewhere classified"
icd10,T79,"Certain early complications of trauma, not elsewhere classified"
icd10,T80,"Complications following infusion, transfusion and therapeutic injection"
icd10,T81,"Complications of procedures, not elsewhere classified"
icd10,T82,"Complications of cardiac and vascular prosthetic devices, implants and grafts"
icd10,T83,"Complications of genitourinary prosthetic devices, implants and grafts"
icd10,T84,"Complications of internal orthopaedic prosthetic devices, implants and grafts"
icd10,T85,"Complications of other internal prosthetic devices, implants and grafts"
icd10,T86,Failure and rejection of transplanted organs and tissues
icd10,T87,Complications peculiar to reattachment and amputation
icd10,T88,"Other complications of surgical and medical care, not elsewhere classified"
icd10,T90,Sequelae of injuries of head
icd10,T91,Sequelae of injuries of neck and trunk
icd10,T92,Sequelae of injuries of upper limb
icd10,T93,Sequelae of injuries of lower limb
icd10,T94,Sequelae of injuries involving multiple and unspecified body regions
icd10,T95,"Sequelae of burns, corrosions and frostbite"
icd10,T96,"Sequelae of poisoning by drugs, medicaments and biological substances"
icd10,T97,Sequelae of toxic effects of substances chiefly nonmedicinal as to source
icd10,T98,Sequelae of other and unspecified effects of external causes
icd10,U04,Severe acute respiratory syndrome [SARS]
icd10,U06,Emergency use of U06
icd10,U07,Emergency use of U07
icd10,U80,Agent resistant to penicillin and related antibiotics
icd10,U81,Agent resistant to vancomycin and related antibiotics
icd10,U82,Resistance to betalactam antibiotics
icd10,U83,Resistance to other antibiotics
icd10,U84,Resistance to other antimicrobial drugs
icd10,U85,Resistance to antineoplastic drugs
icd10,U88,Agent resistant to multiple antibiotics
icd10,U89,Agent resistant to other and unspecified antibiotics
icd10,V01,Pedestrian injured in collision with pedal cycle
icd10,V02,Pedestrian injured in collision with two- or three-wheeled motor vehicle
icd10,V03,"Pedestrian injured in collision with car, pick-up truck or van"
icd10,V04,Pedestrian injured in collision with heavy transport vehicle or bus
icd10,V05,Pedestrian injured in collision with railway train or railway vehicle
icd10,V06,Pedestrian injured in collision with other nonmotor vehicle
icd10,V09,Pedestrian injured in other and unspecified transport accidents
icd10,V10,Pedal cyclist injured in collision with pedestrian or animal
icd10,V11,Pedal cyclist injured in collision with other pedal cycle
icd10,V12,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle
icd10,V13,"Pedal cyclist injured in collision with car, pick-up truck or van"
icd10,V14,Pedal cyclist injured in collision with heavy transport vehicle or bus
icd10,V15,Pedal cyclist injured in collision with railway train or railway vehicle
icd10,V16,Pedal cyclist injured in collision with other nonmotor vehicle
icd10,V17,Pedal cyclist injured in collision with fixed or stationary object
icd10,V18,Pedal cyclist injured in noncollision transport accident
icd10,V19,Pedal cyclist injured in other and unspecified transport accidents
icd10,V20,Motorcycle rider injured in collision with pedestrian or animal
icd10,V21,Motorcycle rider injured in collision with pedal cycle
icd10,V22,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
icd10,V23,"Motorcycle rider injured in collision with car, pick-up truck or van"
icd10,V24,Motorcycle rider injured in collision with heavy transport vehicle or bus
icd10,V25,Motorcycle rider injured in collision with railway train or railway vehicle
icd10,V26,Motorcycle rider injured in collision with other nonmotor vehicle
icd10,V27,Motorcycle rider injured in collision with fixed or stationary object
icd10,V28,Motorcycle rider injured in noncollision transport accident
icd10,V29,Motorcycle rider injured in other and unspecified transport accidents
icd10,V30,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
icd10,V31,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
icd10,V32,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
icd10,V33,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
icd10,V34,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
icd10,V35,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
icd10,V36,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
icd10,V37,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
icd10,V38,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
icd10,V39,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents
icd10,V40,Car occupant injured in collision with pedestrian or animal
icd10,V41,Car occupant injured in collision with pedal cycle
icd10,V42,Car occupant injured in collision with two- or three-wheeled motor vehicle
icd10,V43,"Car occupant injured in collision with car, pick-up truck or van"
icd10,V44,Car occupant injured in collision with heavy transport vehicle or bus
icd10,V45,Car occupant injured in collision with railway train or railway vehicle
icd10,V46,Car occupant injured in collision with other nonmotor vehicle
icd10,V47,Car occupant injured in collision with fixed or stationary object
icd10,V48,Car occupant injured in noncollision transport accident
icd10,V49,Car occupant injured in other and unspecified transport accidents
icd10,V50,Occupant of pick-up truck or van injured in collision with pedestrian or animal
icd10,V51,Occupant of pick-up truck or van injured in collision with pedal cycle
icd10,V52,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle
icd10,V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van"
icd10,V54,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus
icd10,V55,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle
icd10,V56,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle
icd10,V57,Occupant of pick-up truck or van injured in collision with fixed or stationary object
icd10,V58,Occupant of pick-up truck or van injured in noncollision transport accident
icd10,V59,Occupant of pick-up truck or van injured in other and unspecified transport accidents
icd10,V60,Occupant of heavy transport vehicle injured in collision with pedestrian or animal
icd10,V61,Occupant of heavy transport vehicle injured in collision with pedal cycle
icd10,V62,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle
icd10,V63,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van"
icd10,V64,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus
icd10,V65,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle
icd10,V66,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle
icd10,V67,Occupant of heavy transport vehicle injured in collision with fixed or stationary object
icd10,V68,Occupant of heavy transport vehicle injured in noncollision transport accident
icd10,V69,Occupant of heavy transport vehicle injured in other and unspecified transport accidents
icd10,V70,Bus occupant injured in collision with pedestrian or animal
icd10,V71,Bus occupant injured in collision with pedal cycle
icd10,V72,Bus occupant injured in collision with two- or three-wheeled motor vehicle
icd10,V73,"Bus occupant injured in collision with car, pick-up truck or van"
icd10,V74,Bus occupant injured in collision with heavy transport vehicle or bus
icd10,V75,Bus occupant injured in collision with railway train or railway vehicle
icd10,V76,Bus occupant injured in collision with other nonmotor vehicle
icd10,V77,Bus occupant injured in collision with fixed or stationary object
icd10,V78,Bus occupant injured in noncollision transport accident
icd10,V79,Bus occupant injured in other and unspecified transport accidents
icd10,V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident
icd10,V81,Occupant of railway train or railway vehicle injured in transport accident
icd10,V82,Occupant of streetcar injured in transport accident
icd10,V83,Occupant of special vehicle mainly used on industrial premises injured in transport accident
icd10,V84,Occupant of special vehicle mainly used in agriculture injured in transport accident
icd10,V85,Occupant of special construction vehicle injured in transport accident
icd10,V86,"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident"
icd10,V87,Traffic accident of specified type but victim's mode of transport unknown
icd10,V88,Nontraffic accident of specified type but victim's mode of transport unknown
icd10,V89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
icd10,V90,Accident to watercraft causing drowning and submersion
icd10,V91,Accident to watercraft causing other injury
icd10,V92,Water-transport-related drowning and submersion without accident to watercraft
icd10,V93,"Accident on board watercraft without accident to watercraft, not causing drowning and submersion"
icd10,V94,Other and unspecified water transport accidents
icd10,V95,Accident to powered aircraft causing injury to occupant
icd10,V96,Accident to nonpowered aircraft causing injury to occupant
icd10,V97,Other specified air transport accidents
icd10,V98,Other specified transport accidents
icd10,V99,Unspecified transport accident
icd10,W00,Fall on same level involving ice and snow
icd10,W01,"Fall on same level from slipping, tripping and stumbling"
icd10,W02,"Fall involving ice-skates, skis, roller-skates or skateboards"
icd10,W03,"Other fall on same level due to collision with, or pushing by, another person"
icd10,W04,Fall while being carried or supported by other persons
icd10,W05,Fall involving wheelchair
icd10,W06,Fall involving bed
icd10,W07,Fall involving chair
icd10,W08,Fall involving other furniture
icd10,W09,Fall involving playground equipment
icd10,W10,Fall on and from stairs and steps
icd10,W11,Fall on and from ladder
icd10,W12,Fall on and from scaffolding
icd10,W13,"Fall from, out of or through building or structure"
icd10,W14,Fall from tree
icd10,W15,Fall from cliff
icd10,W16,Diving or jumping into water causing injury other than drowning or submersion
icd10,W17,Other fall from one level to another
icd10,W18,Other fall on same level
icd10,W19,Unspecified fall
icd10,W20,"Struck by thrown, projected or falling object"
icd10,W21,Striking against or struck by sports equipment
icd10,W22,Striking against or struck by other objects
icd10,W23,"Caught, crushed, jammed or pinched in or between objects"
icd10,W24,"Contact with lifting and transmission devices, not elsewhere classified"
icd10,W25,Contact with sharp glass
icd10,W26,Contact with other sharp object(s)
icd10,W27,Contact with nonpowered hand tool
icd10,W28,Contact with powered lawnmower
icd10,W29,Contact with other powered hand tools and household machinery
icd10,W30,Contact with agricultural machinery
icd10,W31,Contact with other and unspecified machinery
icd10,W32,Handgun discharge
icd10,W33,"Rifle, shotgun and larger firearm discharge"
icd10,W34,Discharge from other and unspecified firearms
icd10,W35,Explosion and rupture of boiler
icd10,W36,Explosion and rupture of gas cylinder
icd10,W37,"Explosion and rupture of pressurized tyre, pipe or hose"
icd10,W38,Explosion and rupture of other specified pressurized devices
icd10,W39,Discharge of firework
icd10,W40,Explosion of other materials
icd10,W41,Exposure to high-pressure jet
icd10,W42,Exposure to noise
icd10,W43,Exposure to vibration
icd10,W44,Foreign body entering into or through eye or natural orifice
icd10,W45,Foreign body or object entering through skin
icd10,W46,Contact with hypodermic needle
icd10,W49,Exposure to other and unspecified inanimate mechanical forces
icd10,W50,"Hit, struck, kicked, twisted, bitten or scratched by another person"
icd10,W51,Striking against or bumped into by another person
icd10,W52,"Crushed, pushed or stepped on by crowd or human stampede"
icd10,W53,Bitten by rat
icd10,W54,Bitten or struck by dog
icd10,W55,Bitten or struck by other mammals
icd10,W56,Contact with marine animal
icd10,W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods
icd10,W58,Bitten or struck by crocodile or alligator
icd10,W59,Bitten or crushed by other reptiles
icd10,W60,Contact with plant thorns and spines and sharp leaves
icd10,W64,Exposure to other and unspecified animate mechanical forces
icd10,W65,Drowning and submersion while in bath-tub
icd10,W66,Drowning and submersion following fall into bath-tub
icd10,W67,Drowning and submersion while in swimming-pool
icd10,W68,Drowning and submersion following fall into swimming-pool
icd10,W69,Drowning and submersion while in natural water
icd10,W70,Drowning and submersion following fall into natural water
icd10,W73,Other specified drowning and submersion
icd10,W74,Unspecified drowning and submersion
icd10,W75,Accidental suffocation and strangulation in bed
icd10,W76,Other accidental hanging and strangulation
icd10,W77,"Threat to breathing due to cave-in, falling earth and other substances"
icd10,W78,Inhalation of gastric contents
icd10,W79,Inhalation and ingestion of food causing obstruction of respiratory tract
icd10,W80,Inhalation and ingestion of other objects causing obstruction of respiratory tract
icd10,W81,Confined to or trapped in a low-oxygen environment
icd10,W83,Other specified threats to breathing
icd10,W84,Unspecified threat to breathing
icd10,W85,Exposure to electric transmission lines
icd10,W86,Exposure to other specified electric current
icd10,W87,Exposure to unspecified electric current
icd10,W88,Exposure to ionizing radiation
icd10,W89,Exposure to man-made visible and ultraviolet light
icd10,W90,Exposure to other nonionizing radiation
icd10,W91,Exposure to unspecified type of radiation
icd10,W92,Exposure to excessive heat of man-made origin
icd10,W93,Exposure to excessive cold of man-made origin
icd10,W94,Exposure to high and low air pressure and changes in air pressure
icd10,W99,Exposure to other and unspecified man-made environmental factors
icd10,X00,Exposure to uncontrolled fire in building or structure
icd10,X01,"Exposure to uncontrolled fire, not in building or structure"
icd10,X02,Exposure to controlled fire in building or structure
icd10,X03,"Exposure to controlled fire, not in building or structure"
icd10,X04,Exposure to ignition of highly flammable material
icd10,X05,Exposure to ignition or melting of nightwear
icd10,X06,Exposure to ignition or melting of other clothing and apparel
icd10,X08,"Exposure to other specified smoke, fire and flames"
icd10,X09,"Exposure to unspecified smoke, fire and flames"
icd10,X10,"Contact with hot drinks, food, fats and cooking oils"
icd10,X11,Contact with hot tap-water
icd10,X12,Contact with other hot fluids
icd10,X13,Contact with steam and hot vapours
icd10,X14,Contact with hot air and gases
icd10,X15,Contact with hot household appliances
icd10,X16,"Contact with hot heating appliances, radiators and pipes"
icd10,X17,"Contact with hot engines, machinery and tools"
icd10,X18,Contact with other hot metals
icd10,X19,Contact with other and unspecified heat and hot substances
icd10,X20,Contact with venomous snakes and lizards
icd10,X21,Contact with venomous spiders
